school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,VISUAL ARTS
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,DESIGN AND INNOVATION,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",ENGLISH LANGUAGE & DRAMA
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),SPORTS CLUB
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ART AND CRAFTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BADMINTON,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,DIGITAL MEDIA,na
