school_name,subject_desc
ADMIRALTY PRIMARY SCHOOL,ENGLISH LANGUAGE
ADMIRALTY PRIMARY SCHOOL,MATHEMATICS
ADMIRALTY PRIMARY SCHOOL,SCIENCE
ADMIRALTY PRIMARY SCHOOL,CHINESE
ADMIRALTY PRIMARY SCHOOL,MALAY
ADMIRALTY PRIMARY SCHOOL,TAMIL
ADMIRALTY PRIMARY SCHOOL,HIGHER CHINESE
ADMIRALTY PRIMARY SCHOOL,HIGHER MALAY
ADMIRALTY PRIMARY SCHOOL,HIGHER TAMIL
ADMIRALTY PRIMARY SCHOOL,ART
ADMIRALTY PRIMARY SCHOOL,MUSIC
ADMIRALTY PRIMARY SCHOOL,PHYSICAL EDUCATION
ADMIRALTY PRIMARY SCHOOL,SOCIAL STUDIES
ADMIRALTY SECONDARY SCHOOL,ENGLISH LANGUAGE
ADMIRALTY SECONDARY SCHOOL,MATHEMATICS
ADMIRALTY SECONDARY SCHOOL,ADDITIONAL MATHEMATICS
ADMIRALTY SECONDARY SCHOOL,SCIENCE (PHY/CHEM)
ADMIRALTY SECONDARY SCHOOL,SCIENCE (CHEM/BIO)
ADMIRALTY SECONDARY SCHOOL,PHYSICS
ADMIRALTY SECONDARY SCHOOL,CHEMISTRY
ADMIRALTY SECONDARY SCHOOL,BIOLOGY
ADMIRALTY SECONDARY SCHOOL,"COMBINED HUMANITIES (S,G)"
ADMIRALTY SECONDARY SCHOOL,"COMBINED HUMANITIES (S,H)"
ADMIRALTY SECONDARY SCHOOL,"COMBINED HUMANITIES (S,L)"
ADMIRALTY SECONDARY SCHOOL,GEOGRAPHY
ADMIRALTY SECONDARY SCHOOL,HISTORY
ADMIRALTY SECONDARY SCHOOL,LITERATURE IN ENGLISH
ADMIRALTY SECONDARY SCHOOL,PRINCIPLES OF ACCOUNTS
ADMIRALTY SECONDARY SCHOOL,DESIGN & TECHNOLOGY
ADMIRALTY SECONDARY SCHOOL,FOOD & CONSUMER EDUCATION
ADMIRALTY SECONDARY SCHOOL,ART
ADMIRALTY SECONDARY SCHOOL,MUSIC
ADMIRALTY SECONDARY SCHOOL,CHINESE
ADMIRALTY SECONDARY SCHOOL,MALAY
ADMIRALTY SECONDARY SCHOOL,TAMIL
ADMIRALTY SECONDARY SCHOOL,HIGHER CHINESE
ADMIRALTY SECONDARY SCHOOL,HIGHER MALAY
ADMIRALTY SECONDARY SCHOOL,HIGHER TAMIL
ADMIRALTY SECONDARY SCHOOL,COMPUTING
